Depth,POINTID,pH_CaCl2,pH_H2O,EC,OC,CaCO3,P,N,K,OC (20-30 cm),CaCO3 (20-30 cm),Ox_Al,Ox_Fe,NUTS_0,NUTS_1,NUTS_2,NUTS_3,TH_LAT,TH_LONG,SURVEY_DATE,Elev,LC,LU,LC0_Desc,LC1_Desc,LU1_Desc,Depth_code,land_use_code,OC_Class,pH_Class,Fertility_Class,photo_path,photo_exists
0-20 cm,43322692,3.4,4.26,9.32,93.3,1.0,24.3,7.2,172.3,13.45,287.5,0.9,1.9,AT,AT3,AT34,AT341,47.34149985,10.14545305,3/7/2018,1315,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,1,12,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\433\226\43322692E.jpg,True
0-20 cm,43362694,5.7,6.21,14.25,54.3,5.0,26.5,4.7,114.3,13.45,287.5,0.9,1.9,AT,AT3,AT34,AT341,47.35941868,10.19841354,26-06-18,1141,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,1,12,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\433\626\43362694E.jpg,True
0-10 cm,43402682,4.4,5.25,31.3,324.3,5.0,62.9,13.5,407.8,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT331,47.25129288,10.25080287,26-06-18,11353,C23,U120,Woodland,Other coniferous woodland,Forestry,0,12,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\434\026\43402682E.jpg,True
0-20 cm,43482670,4.0,5.04,12.5,116.2,1.0,36.9,7.5,121.9,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT334,47.14297599,10.35566695,5/6/2018,1410,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,1,12,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\434\826\43482670E.jpg,True
0-20 cm,43562686,6.0,6.52,52.7,296.5,8.0,35.6,14.0,223.7,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT331,47.28660578,10.46232067,1/6/2018,1234,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,1,12,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\435\626\43562686E.jpg,True
0-10 cm,43622690,6.2,6.34,141.7,241.8,5.0,46.1,15.1,332.4,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT331,47.32224454,10.5419478,26-06-18,11256,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry,0,12,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\436\226\43622690E.jpg,True
0-20 cm,43662688,6.9,7.41,37.1,169.7,265.0,18.6,7.0,224.4,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT331,47.30396617,10.59461326,1/6/2018,1334,C23,U120,Woodland,Other coniferous woodland,Forestry,1,12,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\436\626\43662688E.jpg,True
0-20 cm,43702704,6.5,6.92,40.1,156.4,1.0,26.5,9.6,241.7,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT331,47.44767581,10.64926194,25-06-18,10943,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,1,12,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\437\027\43702704E.jpg,True
0-20 cm,43782660,3.8,4.61,8.41,65.2,5.0,23.7,4.3,103.7,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT334,47.05094152,10.74954668,27-06-18,11267,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,1,12,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\437\826\43782660E.jpg,True
0-20 cm,43782700,4.7,5.51,10.76,58.6,3.0,26.5,4.4,107.5,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT331,47.41099162,10.75473405,31-05-18,1385,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,1,12,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\437\827\43782700E.jpg,True
0-20 cm,43802684,7.0,7.13,73.5,143.5,83.0,27.2,12.1,109.5,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT334,47.26679362,10.7790551,25-06-18,781,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\438\026\43802684E.jpg,True
0-20 cm,43802702,6.9,7.15,101.8,141.5,100.0,22.9,8.9,84.6,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT331,47.42880562,10.78148522,31-05-18,1049,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\438\027\43802702E.jpg,True
0-20 cm,43862700,6.8,6.92,91.2,166.5,5.0,30.4,9.7,162.1,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT331,47.41020633,10.86065374,25-06-18,11104,C10,U120,Woodland,Broadleaved woodland,Forestry,1,12,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\438\627\43862700E.jpg,True
0-20 cm,43902682,4.1,4.78,9.01,41.4,1.0,10.9,3.2,66.4,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT334,47.24776526,10.9107731,23-07-18,11145,C21,U111,Woodland,Spruce dominated coniferous woodland,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\439\026\43902682E.jpg,True
0-20 cm,43962686,7.0,7.58,28.33,39.8,38.0,20.1,3.9,44.2,13.45,287.5,0.8,1.7,AT,AT3,AT33,AT334,47.28307539,10.99064648,23-07-18,10690,B16,U111,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\439\626\43962686E.jpg,True
0-20 cm,44042690,7.2,7.56,24.3,67.2,63.0,18.3,3.5,55.1,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT332,47.31806256,11.09706043,25-06-18,10701,C33,U120,Woodland,Other mixed woodland,Forestry,1,12,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\440\426\44042690E.jpg,True
0-20 cm,44082690,4.4,5.3,17.68,174.5,5.0,12.6,7.7,103.1,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT332,47.31751655,11.1499235,25-06-18,11392,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,1,12,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\440\826\44082690E.jpg,True
0-20 cm,44102696,6.3,6.53,21.2,95.5,5.0,10.5,4.8,60.9,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT332,47.37123363,11.17757638,25-06-18,11348,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,1,12,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\441\026\44102696E.jpg,True
0-20 cm,44142686,6.9,7.17,57.5,289.3,6.0,23.9,11.3,203.6,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT332,47.28064918,11.22836698,25-06-18,824,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry,1,12,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\441\426\44142686E.jpg,True
0-20 cm,44222668,6.7,7.17,40.54,81.6,6.0,75.3,7.8,78.2,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT332,47.11739919,11.329884,16-07-18,1029,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\442\226\44222668E.jpg,True
0-20 cm,44282656,6.3,6.71,85.04,278.9,7.0,46.5,26.2,213.8,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT332,47.00839286,11.4059735,13-05-18,1411,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\442\826\44282656E.jpg,True
0-20 cm,44302680,4.4,5.14,24.0,56.2,1.0,24.1,5.9,166.2,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT332,47.22405776,11.4381661,22-06-18,1074,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\443\026\44302680E.jpg,True
0-20 cm,44302682,6.2,6.45,49.2,45.9,5.0,12.1,5.3,66.2,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT332,47.24205742,11.43866214,22-06-18,869,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\443\026\44302682E.jpg,True
0-20 cm,44382670,6.1,6.59,51.74,50.8,2.0,16.2,5.8,43.0,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT332,47.13261103,11.54103862,20-06-18,1386,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\443\826\44382670E.jpg,True
0-20 cm,44382684,6.7,7.04,63.6,121.2,17.0,49.4,5.8,97.6,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT332,47.25860702,11.54475892,16-07-18,1089,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,1,12,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\443\826\44382684E.jpg,True
0-20 cm,44382686,3.7,4.21,23.07,85.5,5.0,19.8,5.5,48.5,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT332,47.27660575,11.54529227,16-07-18,628,D10,U120,Shrubland,Shrubland with sparse tree cover,Forestry,1,12,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\443\826\44382686E.jpg,True
0-20 cm,44402664,4.4,5.14,14.49,54.7,2.0,17.8,3.8,69.3,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT332,47.07823314,11.56575983,13-05-18,1483,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,1,12,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\444\026\44402664E.jpg,True
0-20 cm,44502714,6.7,6.99,90.7,285.2,274.0,44.5,11.1,207.5,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT335,47.52618885,11.71202377,8/6/2018,1001,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry,1,12,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\445\027\44502714E.jpg,True
0-20 cm,44562702,4.6,5.2,63.2,494.7,12.0,55.4,22.0,366.5,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT335,47.41693905,11.78789624,8/6/2018,904,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry,1,12,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\445\627\44562702E.jpg,True
0-20 cm,44582712,6.6,7.02,18.46,64.6,8.0,18.8,4.1,50.6,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT335,47.50647746,11.81752698,8/6/2018,1058,C33,U120,Woodland,Other mixed woodland,Forestry,1,12,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\445\827\44582712E.jpg,True
0-20 cm,44622708,6.9,7.39,23.4,70.2,3.0,26.5,3.4,52.9,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT335,47.46959154,11.86927424,14-05-18,580,C10,U120,Woodland,Broadleaved woodland,Forestry,1,12,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\446\227\44622708E.jpg,True
0-20 cm,44662698,3.6,4.26,17.26,86.2,1.0,21.1,5.2,88.0,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT335,47.37869559,11.91895201,18-07-18,1367,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,1,12,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\446\626\44662698E.jpg,True
0-20 cm,44782720,6.0,6.41,24.7,134.8,4.0,12.7,6.5,114.9,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT335,47.57370662,12.08564496,26-05-18,1021,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,1,12,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\447\827\44782720E.jpg,True
0-20 cm,44822704,4.0,4.5,25.3,57.4,3.0,17.8,4.3,44.4,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT335,47.42873932,12.13281706,18-07-18,866,C33,U120,Woodland,Other mixed woodland,Forestry,1,12,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\448\227\44822704E.jpg,True
0-20 cm,44862710,4.4,5.01,19.73,21.4,5.0,26.5,2.8,45.4,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT335,47.48166716,12.18805697,18-07-18,1145,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\448\627\44862710E.jpg,True
0-20 cm,44862714,4.9,5.65,17.74,45.5,5.0,23.9,5.1,131.7,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT335,47.51765133,12.18957868,21-06-18,719,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\448\627\44862714E.jpg,True
0-20 cm,44862732,6.5,6.92,59.12,75.7,8.0,25.8,8.7,128.4,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT335,47.67957179,12.19645997,7/7/2018,634,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\448\627\44862732E.jpg,True
0-20 cm,44882726,5.9,6.38,34.15,46.9,5.0,13.0,5.7,73.1,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT335,47.62506295,12.22074192,7/7/2018,477,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\448\827\44882726E.jpg,True
0-20 cm,44922728,5.3,5.71,26.7,46.6,5.0,17.5,5.3,138.8,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT335,47.64196001,12.27469785,3/6/2018,669,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\449\227\44922728E.jpg,True
0-10 cm,44942712,3.7,4.43,9.16,69.9,5.0,21.8,4.3,83.2,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT335,47.49747927,12.29488336,21-06-18,971,C33,U120,Woodland,Other mixed woodland,Forestry,0,12,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\449\427\44942712E.jpg,True
0-20 cm,44962698,5.2,5.37,75.38,254.7,2.0,23.4,7.8,96.9,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT335,47.37097705,12.31576804,30-05-18,11131,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\449\626\44962698E.jpg,True
0-20 cm,45002638,5.2,5.67,39.2,53.8,5.0,41.7,3.2,239.8,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT333,46.8300065,12.34438732,15-06-18,1827,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,1,12,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\450\026\45002638E.jpg,True
0-10 cm,45042696,4.0,4.58,52.9,133.2,5.0,45.5,10.6,267.9,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT335,47.35068321,12.42072863,21-06-18,1101,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),0,3,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\450\426\45042696E.jpg,True
0-10 cm,45062714,5.3,5.66,50.8,49.5,5.0,15.5,5.3,246.5,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT335,47.51200559,12.45481969,21-06-18,699,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),0,3,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\450\627\45062714E.jpg,True
0-20 cm,45102682,5.1,5.86,5.32,14.5,1.0,26.5,1.0,45.6,13.45,287.5,0.9,1.9,AT,AT3,AT32,AT322,47.2229502,12.49400769,30-05-18,1076,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,1,12,Moderate,Neutral,Moderate,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\451\026\45102682E.jpg,True
0-20 cm,45102684,4.8,5.56,31.38,67.8,5.0,31.1,6.3,123.6,13.45,287.5,0.9,1.9,AT,AT3,AT32,AT322,47.24094208,12.49486781,30-05-18,1019,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\451\026\45102684E.jpg,True
0-20 cm,45102688,4.6,5.09,31.53,39.5,5.0,41.0,4.2,84.2,13.45,287.5,0.9,1.9,AT,AT3,AT32,AT322,47.27692529,12.49659032,9/7/2018,787,A30,U319,Artificial land,Other artificial areas,"Electricity, gas and thermal power distribution",1,8,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\451\026\45102688E.jpg,True
0-20 cm,45102712,4.8,5.23,45.6,57.4,5.0,25.7,6.0,133.8,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT335,47.49280984,12.50698978,8/7/2018,737,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\451\027\45102712E.jpg,True
0-20 cm,45122688,5.1,5.49,39.27,38.0,5.0,38.4,4.8,115.0,13.45,287.5,0.9,1.9,AT,AT3,AT32,AT322,47.27631556,12.52299138,9/7/2018,827,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\451\226\45122688E.jpg,True
0-20 cm,45182714,6.5,6.85,68.6,182.8,9.0,10.3,10.1,85.4,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT335,47.50830875,12.61393798,8/7/2018,1042,C33,U120,Woodland,Other mixed woodland,Forestry,1,12,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\451\827\45182714E.jpg,True
0-20 cm,45182728,5.2,5.78,14.08,69.3,1.0,26.5,4.4,188.0,13.45,287.5,0.9,1.9,AT,AT3,AT32,AT322,47.63422172,12.62031964,28-05-18,1024,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry,1,12,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\451\827\45182728E.jpg,True
0-20 cm,45202708,3.5,4.92,26.2,446.2,2.0,89.2,19.1,903.4,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT335,47.45370555,12.63770525,8/7/2018,1102,C23,U120,Woodland,Other coniferous woodland,Forestry,1,12,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\452\027\45202708E.jpg,True
0-20 cm,45222700,3.8,4.46,24.4,205.3,2.0,45.4,12.2,217.1,13.45,287.5,0.9,1.9,AT,AT3,AT32,AT322,47.38110711,12.66050229,29-05-18,1017,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,1,12,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\452\227\45222700E.jpg,True
0-20 cm,45242636,4.1,4.45,22.29,98.2,5.0,17.5,4.5,84.4,13.45,287.5,0.9,1.9,AT,AT3,AT33,AT333,46.80472927,12.65759174,14-06-18,1746,E10,U120,Grassland,Grassland with sparse tree/shrub cover,Forestry,1,12,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\452\426\45242636E.jpg,True
0-20 cm,45242698,3.2,4.45,16.23,209.8,1.0,63.7,11.6,235.3,13.45,287.5,0.9,1.9,AT,AT3,AT32,AT322,47.36246865,12.68602437,29-05-18,1391,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,1,12,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\452\426\45242698E.jpg,True
0-20 cm,45242722,4.5,5.1,30.8,227.0,1.0,26.4,14.8,167.6,13.45,287.5,0.9,1.9,AT,AT3,AT32,AT322,47.57832152,12.69724159,21-06-18,639,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\452\427\45242722E.jpg,True
0-20 cm,45282706,4.3,4.84,35.7,62.0,5.0,30.7,6.3,164.8,13.45,287.5,0.9,1.9,AT,AT3,AT32,AT322,47.43310202,12.74270783,21-06-18,873,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\452\827\45282706E.jpg,True
0-20 cm,45342706,5.3,5.89,13.6,27.1,5.0,26.5,3.4,45.7,13.45,287.5,1.5,11.7,AT,AT3,AT32,AT322,47.43107322,12.82213968,12/7/2018,717,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\AT\453\427\45342706E.jpg,True
